cluster_1	kernel_206_number_of_sequence_1982,kernel_583_number_of_sequence_5430,kernel_276_number_of_sequence_6377,kernel_62_number_of_sequence_5151,kernel_668_number_of_sequence_5552,kernel_25_number_of_sequence_5805,kernel_52_number_of_sequence_5735,kernel_272_number_of_sequence_4521,kernel_701_number_of_sequence_5308
cluster_2	kernel_496_number_of_sequence_4461,kernel_486_number_of_sequence_11749,kernel_854_number_of_sequence_7331,kernel_265_number_of_sequence_6248,kernel_430_number_of_sequence_9215,kernel_770_number_of_sequence_11475,kernel_708_number_of_sequence_11226,kernel_433_number_of_sequence_8983,kernel_615_number_of_sequence_7348,kernel_384_number_of_sequence_6036,kernel_148_number_of_sequence_13048,kernel_534_number_of_sequence_11602,kernel_467_number_of_sequence_10686,kernel_204_number_of_sequence_10915,kernel_670_number_of_sequence_14644,kernel_720_number_of_sequence_12635,kernel_617_number_of_sequence_10758,kernel_176_number_of_sequence_6802,kernel_827_number_of_sequence_16150,kernel_840_number_of_sequence_7648,kernel_402_number_of_sequence_11840,kernel_477_number_of_sequence_8700,kernel_707_number_of_sequence_10640,kernel_748_number_of_sequence_11283,kernel_511_number_of_sequence_9016,kernel_801_number_of_sequence_7932,kernel_731_number_of_sequence_15587,kernel_797_number_of_sequence_8253,kernel_487_number_of_sequence_3841,kernel_788_number_of_sequence_10857,kernel_356_number_of_sequence_9762,kernel_346_number_of_sequence_12620,kernel_138_number_of_sequence_5122,kernel_264_number_of_sequence_10224,kernel_319_number_of_sequence_8848,kernel_215_number_of_sequence_5877,kernel_174_number_of_sequence_12165,kernel_689_number_of_sequence_7229,kernel_70_number_of_sequence_12916,kernel_398_number_of_sequence_8797,kernel_722_number_of_sequence_12815,kernel_300_number_of_sequence_12564,kernel_462_number_of_sequence_9933,kernel_463_number_of_sequence_9880,kernel_57_number_of_sequence_9348,kernel_687_number_of_sequence_4677,kernel_93_number_of_sequence_6190,kernel_520_number_of_sequence_14102,kernel_523_number_of_sequence_8615,kernel_864_number_of_sequence_11093,kernel_320_number_of_sequence_11465,kernel_673_number_of_sequence_6216,kernel_303_number_of_sequence_8613,kernel_446_number_of_sequence_7981,kernel_86_number_of_sequence_14821,kernel_680_number_of_sequence_7694,kernel_405_number_of_sequence_9159,kernel_513_number_of_sequence_11238,kernel_562_number_of_sequence_7574,kernel_644_number_of_sequence_7362,kernel_5_number_of_sequence_8632,kernel_88_number_of_sequence_11530,kernel_210_number_of_sequence_11872,kernel_790_number_of_sequence_5629,kernel_21_number_of_sequence_14540
cluster_3	kernel_683_number_of_sequence_8235,kernel_859_number_of_sequence_7344,kernel_153_number_of_sequence_6756,kernel_555_number_of_sequence_12332,kernel_284_number_of_sequence_14441,kernel_507_number_of_sequence_12697,kernel_727_number_of_sequence_4725,kernel_203_number_of_sequence_7400,kernel_456_number_of_sequence_14636,kernel_329_number_of_sequence_7530,kernel_439_number_of_sequence_10400,kernel_830_number_of_sequence_14608,kernel_629_number_of_sequence_10591,kernel_751_number_of_sequence_3530,kernel_111_number_of_sequence_10005,kernel_305_number_of_sequence_6548,kernel_166_number_of_sequence_8964,kernel_480_number_of_sequence_8643,kernel_600_number_of_sequence_9528
cluster_4	kernel_434_number_of_sequence_6452,kernel_565_number_of_sequence_8914
cluster_5	kernel_741_number_of_sequence_13343,kernel_736_number_of_sequence_10683,kernel_358_number_of_sequence_8490,kernel_115_number_of_sequence_8285,kernel_769_number_of_sequence_11655,kernel_95_number_of_sequence_11260,kernel_389_number_of_sequence_10748,kernel_450_number_of_sequence_7056,kernel_675_number_of_sequence_8898,kernel_676_number_of_sequence_8968,kernel_649_number_of_sequence_8108,kernel_406_number_of_sequence_12618,kernel_799_number_of_sequence_7901,kernel_286_number_of_sequence_9209,kernel_151_number_of_sequence_13482,kernel_538_number_of_sequence_9956,kernel_867_number_of_sequence_8336,kernel_339_number_of_sequence_9493,kernel_646_number_of_sequence_9243,kernel_214_number_of_sequence_4823
cluster_6	kernel_604_number_of_sequence_3306,kernel_58_number_of_sequence_3048,kernel_630_number_of_sequence_1182
cluster_7	kernel_252_number_of_sequence_12175,kernel_170_number_of_sequence_7481,kernel_107_number_of_sequence_9254,kernel_67_number_of_sequence_7001,kernel_747_number_of_sequence_8557
cluster_8	kernel_849_number_of_sequence_8376,kernel_66_number_of_sequence_1076,kernel_546_number_of_sequence_2938,kernel_241_number_of_sequence_4599
cluster_9	kernel_498_number_of_sequence_1395,kernel_805_number_of_sequence_1073
cluster_10	kernel_547_number_of_sequence_8723,kernel_438_number_of_sequence_7816,kernel_677_number_of_sequence_7850,kernel_349_number_of_sequence_9664,kernel_813_number_of_sequence_6743
cluster_11	kernel_393_number_of_sequence_5820,kernel_182_number_of_sequence_8597,kernel_247_number_of_sequence_11023
cluster_12	kernel_596_number_of_sequence_11187
cluster_13	kernel_16_number_of_sequence_7625,kernel_343_number_of_sequence_13197,kernel_207_number_of_sequence_8824,kernel_671_number_of_sequence_11218,kernel_224_number_of_sequence_4724
cluster_14	kernel_726_number_of_sequence_20611
cluster_15	kernel_332_number_of_sequence_10621,kernel_79_number_of_sequence_7529,kernel_696_number_of_sequence_10264,kernel_891_number_of_sequence_13811
cluster_16	kernel_669_number_of_sequence_6602,kernel_783_number_of_sequence_11559
cluster_17	kernel_424_number_of_sequence_7267,kernel_94_number_of_sequence_6969,kernel_71_number_of_sequence_10569,kernel_178_number_of_sequence_4317,kernel_308_number_of_sequence_7500,kernel_847_number_of_sequence_4968
cluster_18	kernel_705_number_of_sequence_7964,kernel_139_number_of_sequence_11588
cluster_19	kernel_823_number_of_sequence_6664,kernel_140_number_of_sequence_6887,kernel_147_number_of_sequence_8517
cluster_20	kernel_466_number_of_sequence_12402,kernel_171_number_of_sequence_6555
cluster_21	kernel_371_number_of_sequence_14518,kernel_6_number_of_sequence_5269
cluster_22	kernel_703_number_of_sequence_5384
cluster_23	kernel_607_number_of_sequence_10017
cluster_24	kernel_451_number_of_sequence_6565,kernel_784_number_of_sequence_8270
cluster_25	kernel_550_number_of_sequence_6023
cluster_26	kernel_636_number_of_sequence_8803
cluster_27	kernel_266_number_of_sequence_1637,kernel_492_number_of_sequence_1572
cluster_28	kernel_475_number_of_sequence_11771,kernel_625_number_of_sequence_9753
cluster_29	kernel_483_number_of_sequence_9967,kernel_806_number_of_sequence_8504
cluster_30	kernel_1_number_of_sequence_1840,kernel_187_number_of_sequence_1433
cluster_31	kernel_832_number_of_sequence_8412
cluster_32	kernel_833_number_of_sequence_2062
cluster_33	kernel_64_number_of_sequence_10583
cluster_34	kernel_776_number_of_sequence_11654,kernel_855_number_of_sequence_3539
cluster_35	kernel_333_number_of_sequence_10892
cluster_36	kernel_631_number_of_sequence_2750
cluster_37	kernel_889_number_of_sequence_5628
cluster_38	kernel_753_number_of_sequence_1865
cluster_39	kernel_338_number_of_sequence_12567
cluster_40	kernel_444_number_of_sequence_6236
cluster_41	kernel_158_number_of_sequence_11658,kernel_22_number_of_sequence_8273
cluster_42	kernel_331_number_of_sequence_5427,kernel_588_number_of_sequence_5855
cluster_43	kernel_601_number_of_sequence_5549,kernel_240_number_of_sequence_2398
cluster_44	kernel_659_number_of_sequence_8543
cluster_45	kernel_566_number_of_sequence_14127
cluster_46	kernel_19_number_of_sequence_16071
cluster_47	kernel_563_number_of_sequence_12635
cluster_48	kernel_684_number_of_sequence_4687
cluster_49	kernel_197_number_of_sequence_3773
cluster_50	kernel_149_number_of_sequence_8182
cluster_51	kernel_742_number_of_sequence_319,kernel_228_number_of_sequence_820
cluster_52	kernel_283_number_of_sequence_6957
cluster_53	kernel_312_number_of_sequence_5905
cluster_54	kernel_779_number_of_sequence_9496
cluster_55	kernel_336_number_of_sequence_6081
cluster_56	kernel_267_number_of_sequence_3168,kernel_259_number_of_sequence_1647
cluster_57	kernel_368_number_of_sequence_6601,kernel_759_number_of_sequence_4640
cluster_58	kernel_261_number_of_sequence_1130
cluster_59	kernel_279_number_of_sequence_1145,kernel_401_number_of_sequence_1050
cluster_60	kernel_157_number_of_sequence_1274
cluster_61	kernel_761_number_of_sequence_9728
cluster_62	kernel_440_number_of_sequence_1543,kernel_211_number_of_sequence_4230
cluster_63	kernel_318_number_of_sequence_5506,kernel_540_number_of_sequence_7296
cluster_64	kernel_468_number_of_sequence_9637,kernel_500_number_of_sequence_10227
cluster_65	kernel_597_number_of_sequence_3070
cluster_66	kernel_624_number_of_sequence_6311
cluster_67	kernel_479_number_of_sequence_7131
cluster_68	kernel_74_number_of_sequence_5220
cluster_69	kernel_837_number_of_sequence_4599
cluster_70	kernel_129_number_of_sequence_2038
cluster_71	kernel_126_number_of_sequence_2930
cluster_72	kernel_89_number_of_sequence_908
cluster_73	kernel_850_number_of_sequence_2010
cluster_74	kernel_316_number_of_sequence_4744,kernel_236_number_of_sequence_12391
cluster_75	kernel_293_number_of_sequence_11260
cluster_76	kernel_664_number_of_sequence_5488
cluster_77	kernel_9_number_of_sequence_969
cluster_78	kernel_208_number_of_sequence_2838
cluster_79	kernel_709_number_of_sequence_973
cluster_80	kernel_618_number_of_sequence_11256
cluster_81	kernel_167_number_of_sequence_5040
cluster_82	kernel_54_number_of_sequence_10281
cluster_83	kernel_749_number_of_sequence_4981
