cluster_50	2020-03-04t14-27-25z_m53_kernel_149_number_of_sequence_8182	kernel_149_number_of_sequence_8182
cluster_51	2020-03-04t14-27-25z_m326_kernel_742_number_of_sequence_319	kernel_742_number_of_sequence_319
cluster_52	2020-03-04t14-27-25z_m109_kernel_283_number_of_sequence_6957	kernel_283_number_of_sequence_6957
cluster_53	2020-03-04t14-27-25z_m119_kernel_312_number_of_sequence_5905	kernel_312_number_of_sequence_5905
cluster_54	2020-03-04t14-27-25z_m288_kernel_779_number_of_sequence_9496	kernel_779_number_of_sequence_9496
cluster_55	2020-03-04t14-27-25z_m131_kernel_336_number_of_sequence_6081	kernel_336_number_of_sequence_6081
cluster_56	2020-03-04t14-27-25z_m103_kernel_267_number_of_sequence_3168	kernel_267_number_of_sequence_3168
cluster_57	2020-03-04t14-27-25z_m144_kernel_368_number_of_sequence_6601	kernel_368_number_of_sequence_6601
cluster_58	2020-03-04t14-27-25z_m98_kernel_261_number_of_sequence_1130	kernel_261_number_of_sequence_1130
cluster_59	2020-03-04t14-27-25z_m108_kernel_279_number_of_sequence_1145	kernel_279_number_of_sequence_1145
cluster_60	2020-03-04t14-27-25z_m57_kernel_157_number_of_sequence_1274	kernel_157_number_of_sequence_1274
cluster_61	2020-03-04t14-27-25z_m283_kernel_761_number_of_sequence_9728	kernel_761_number_of_sequence_9728
cluster_62	2020-03-04t14-27-25z_m165_kernel_440_number_of_sequence_1543	kernel_440_number_of_sequence_1543
cluster_63	2020-03-04t14-27-25z_m122_kernel_318_number_of_sequence_5506	kernel_318_number_of_sequence_5506
cluster_64	2020-03-04t14-27-25z_m177_kernel_468_number_of_sequence_9637	kernel_468_number_of_sequence_9637
cluster_65	2020-03-04t14-27-25z_m219_kernel_597_number_of_sequence_3070	kernel_597_number_of_sequence_3070
cluster_66	2020-03-04t14-27-25z_m228_kernel_624_number_of_sequence_6311	kernel_624_number_of_sequence_6311
