;level	cluster	node
1	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636,2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400,2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530,2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005,2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528,2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643,2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964,2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548,2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591,2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530,2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608,2020-03-04t14-27-25z_m74_kernel_203_number_of_sequence_7400,2020-03-04t14-27-25z_m270_kernel_727_number_of_sequence_4725,2020-03-04t14-27-25z_m191_kernel_507_number_of_sequence_12697,2020-03-04t14-27-25z_m110_kernel_284_number_of_sequence_14441,2020-03-04t14-27-25z_m209_kernel_555_number_of_sequence_12332,2020-03-04t14-27-25z_m55_kernel_153_number_of_sequence_6756,2020-03-04t14-27-25z_m253_kernel_683_number_of_sequence_8235,2020-03-04t14-27-25z_m318_kernel_859_number_of_sequence_7344	node_18
2	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636,2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400,2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530,2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005,2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528,2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643,2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964,2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548,2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591,2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530,2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608,2020-03-04t14-27-25z_m74_kernel_203_number_of_sequence_7400,2020-03-04t14-27-25z_m270_kernel_727_number_of_sequence_4725,2020-03-04t14-27-25z_m191_kernel_507_number_of_sequence_12697,2020-03-04t14-27-25z_m110_kernel_284_number_of_sequence_14441,2020-03-04t14-27-25z_m209_kernel_555_number_of_sequence_12332,2020-03-04t14-27-25z_m55_kernel_153_number_of_sequence_6756	node_17
3	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636,2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400,2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530,2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005,2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528,2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643,2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964,2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548,2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591,2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530,2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608,2020-03-04t14-27-25z_m74_kernel_203_number_of_sequence_7400,2020-03-04t14-27-25z_m270_kernel_727_number_of_sequence_4725,2020-03-04t14-27-25z_m191_kernel_507_number_of_sequence_12697,2020-03-04t14-27-25z_m110_kernel_284_number_of_sequence_14441,2020-03-04t14-27-25z_m209_kernel_555_number_of_sequence_12332	node_15
4	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636,2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400,2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530,2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005,2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528,2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643,2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964,2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548,2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591,2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530,2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608,2020-03-04t14-27-25z_m74_kernel_203_number_of_sequence_7400,2020-03-04t14-27-25z_m270_kernel_727_number_of_sequence_4725,2020-03-04t14-27-25z_m191_kernel_507_number_of_sequence_12697,2020-03-04t14-27-25z_m110_kernel_284_number_of_sequence_14441	node_14
5	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636,2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400,2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530,2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005,2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528,2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643,2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964,2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548,2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591,2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530,2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608,2020-03-04t14-27-25z_m74_kernel_203_number_of_sequence_7400,2020-03-04t14-27-25z_m270_kernel_727_number_of_sequence_4725,2020-03-04t14-27-25z_m191_kernel_507_number_of_sequence_12697	node_13
6	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636,2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400,2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530,2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005,2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528,2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643,2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964,2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548,2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591,2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530,2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608	node_12
7	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636,2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400,2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530	node_7
8	2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400,2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530	node_1
9	2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005,2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528,2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643,2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964,2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548,2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591,2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530,2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608	node_11
10	2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005,2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528,2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643,2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964,2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548	node_10
