;level	cluster	node
24	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122	node_10
25	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877	node_9
26	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165	node_6
27	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229	node_1
28	2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122	node_7
29	2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224	node_3
30	2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815	node_30
31	2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150,2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016,2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640,2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648,2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840	node_36
32	2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016,2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640,2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648,2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840	node_33
33	2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016,2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640	node_29
34	2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016	node_16
35	2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016	node_15
36	2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648,2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840	node_12
37	2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840	node_11
38	2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802,2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036,2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226,2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983,2020-03-04t14-27-25z_m286_kernel_770_number_of_sequence_11475,2020-03-04t14-27-25z_m160_kernel_430_number_of_sequence_9215,2020-03-04t14-27-25z_m101_kernel_265_number_of_sequence_6248	node_53
39	2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802,2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036,2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226,2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983,2020-03-04t14-27-25z_m286_kernel_770_number_of_sequence_11475	node_46
40	2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802,2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036,2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226,2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983	node_42
41	2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802,2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036	node_37
42	2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802	node_32
43	2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036	node_28
44	2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048	node_24
45	2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602	node_23
46	2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686	node_21
47	2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644	node_20
48	2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686	node_17
49	2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226,2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983	node_34
50	2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983	node_25
51	2020-03-04t14-27-25z_m160_kernel_430_number_of_sequence_9215,2020-03-04t14-27-25z_m101_kernel_265_number_of_sequence_6248	node_44
52	2020-03-04t14-27-25z_m316_kernel_854_number_of_sequence_7331,2020-03-04t14-27-25z_m183_kernel_486_number_of_sequence_11749	node_45
53	2020-03-04t14-27-25z_m115_kernel_303_number_of_sequence_8613,2020-03-04t14-27-25z_m252_kernel_680_number_of_sequence_7694,2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362,2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632,2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238,2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159,2020-03-04t14-27-25z_m31_kernel_86_number_of_sequence_14821,2020-03-04t14-27-25z_m168_kernel_446_number_of_sequence_7981,2020-03-04t14-27-25z_m293_kernel_790_number_of_sequence_5629,2020-03-04t14-27-25z_m8_kernel_21_number_of_sequence_14540	node_63
54	2020-03-04t14-27-25z_m252_kernel_680_number_of_sequence_7694,2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362,2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632,2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238,2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159,2020-03-04t14-27-25z_m31_kernel_86_number_of_sequence_14821,2020-03-04t14-27-25z_m168_kernel_446_number_of_sequence_7981,2020-03-04t14-27-25z_m293_kernel_790_number_of_sequence_5629,2020-03-04t14-27-25z_m8_kernel_21_number_of_sequence_14540	node_62
55	2020-03-04t14-27-25z_m252_kernel_680_number_of_sequence_7694,2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362,2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632,2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238,2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159,2020-03-04t14-27-25z_m31_kernel_86_number_of_sequence_14821,2020-03-04t14-27-25z_m168_kernel_446_number_of_sequence_7981	node_59
56	2020-03-04t14-27-25z_m252_kernel_680_number_of_sequence_7694,2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362,2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632,2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238,2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159,2020-03-04t14-27-25z_m31_kernel_86_number_of_sequence_14821	node_58
57	2020-03-04t14-27-25z_m252_kernel_680_number_of_sequence_7694,2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362,2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632,2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238,2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159	node_52
58	2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362,2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632,2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238,2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159	node_48
59	2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362,2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632	node_41
60	2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632	node_38
61	2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872	node_26
62	2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238,2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159	node_8
63	2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238	node_4
64	2020-03-04t14-27-25z_m293_kernel_790_number_of_sequence_5629,2020-03-04t14-27-25z_m8_kernel_21_number_of_sequence_14540	node_61
