merged_ID	child_1	child_2
node_1	2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916
node_2	2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102	2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615
node_3	2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224	2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848
node_4	2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238	2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574
node_5	2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190	node_2
node_6	2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165	node_1
node_7	2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122	node_3
node_8	2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159	node_4
node_9	2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877	node_6
node_10	node_7	node_9
node_11	2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840	2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700
node_12	2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648	node_11
node_13	2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348	2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677
node_14	2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620	node_10
node_15	2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016	2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932
node_16	2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283	node_15
node_17	2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686	2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915
node_18	2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762	node_14
node_19	2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857	node_18
node_20	2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644	2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635
node_21	node_17	node_20
node_22	2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564	2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933
node_23	2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602	node_21
node_24	2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048	node_23
node_25	2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983	2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348
node_26	2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530	2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872
node_27	2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841	node_19
node_28	2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036	node_24
node_29	2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640	node_16
node_30	2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797	2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815
node_31	node_27	node_30
node_32	2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758	2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802
node_33	node_12	node_29
node_34	2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226	node_25
node_35	2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253	node_31
node_36	2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150	node_33
node_37	node_28	node_32
node_38	2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632	node_26
node_39	2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216
node_40	2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093	node_39
node_41	2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362	node_38
node_42	node_34	node_37
node_43	node_5	node_40
node_44	2020-03-04t14-27-25z_m101_kernel_265_number_of_sequence_6248	2020-03-04t14-27-25z_m160_kernel_430_number_of_sequence_9215
node_45	2020-03-04t14-27-25z_m183_kernel_486_number_of_sequence_11749	2020-03-04t14-27-25z_m316_kernel_854_number_of_sequence_7331
node_46	2020-03-04t14-27-25z_m286_kernel_770_number_of_sequence_11475	node_42
node_47	2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587	node_35
node_48	node_8	node_41
node_49	node_13	node_43
node_50	2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880	node_49
node_51	node_22	node_50
node_52	2020-03-04t14-27-25z_m252_kernel_680_number_of_sequence_7694	node_48
node_53	node_44	node_46
node_54	node_47	node_51
node_55	node_36	node_54
node_56	node_53	node_55
node_57	node_45	node_56
node_58	2020-03-04t14-27-25z_m31_kernel_86_number_of_sequence_14821	node_52
node_59	2020-03-04t14-27-25z_m168_kernel_446_number_of_sequence_7981	node_58
node_60	2020-03-04t14-27-25z_m187_kernel_496_number_of_sequence_4461	node_57
node_61	2020-03-04t14-27-25z_m293_kernel_790_number_of_sequence_5629	2020-03-04t14-27-25z_m8_kernel_21_number_of_sequence_14540
node_62	node_59	node_61
node_63	2020-03-04t14-27-25z_m115_kernel_303_number_of_sequence_8613	node_62
node_64	node_60	node_63
