#cluster	node_ID	child_1	child_2	IC	IC_child_1	IC_child_2	Sites	Sites_child_1	Sites_child_2
cluster_2	22	2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564	2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933	4.44	4.77	4.38	22497	12564	9933
cluster_2	47	2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587	35	4.62	3.17	4.94	144913	15587	129326
cluster_2	35	2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253	31	4.94	5.88	4.94	129326	8253	121073
cluster_2	31	27	30	4.94	5.21	4.29	121073	99461	21612
cluster_2	27	2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841	19	5.21	5.17	5.27	99461	3841	95620
cluster_2	19	2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857	18	5.27	4.78	5.44	95620	10857	84763
cluster_2	18	2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762	14	5.44	5.95	5.43	84763	9762	75001
cluster_2	14	2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620	10	5.43	4.86	5.65	75001	12620	62381
cluster_2	10	7	9	5.65	5.98	5.59	62381	24194	38187
cluster_2	9	2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877	6	5.59	4.29	5.95	38187	5877	32310
cluster_2	6	2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165	1	5.95	5.41	6.55	32310	12165	20145
cluster_2	1	2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916	6.55	6.39	6.70	20145	7229	12916
cluster_2	7	2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122	3	5.98	6.46	5.99	24194	5122	19072
cluster_2	3	2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224	2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848	5.99	6.36	5.79	19072	10224	8848
cluster_2	30	2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797	2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815	4.29	4.65	4.48	21612	8797	12815
cluster_2	36	2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150	33	4.38	4.60	4.52	83209	16150	67059
cluster_2	33	12	29	4.52	5.26	4.45	67059	28188	38871
cluster_2	29	2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640	16	4.45	5.02	4.49	38871	10640	28231
cluster_2	16	2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283	15	4.49	4.80	4.58	28231	11283	16948
cluster_2	15	2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016	2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932	4.58	4.73	4.83	16948	9016	7932
cluster_2	12	2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648	11	5.26	5.47	5.41	28188	7648	20540
cluster_2	11	2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840	2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700	5.41	6.01	5.02	20540	11840	8700
cluster_2	53	44	46	4.51	4.63	4.66	151621	15463	136158
cluster_2	46	2020-03-04t14-27-25z_m286_kernel_770_number_of_sequence_11475	42	4.66	4.90	4.82	136158	11475	124683
cluster_2	42	34	37	4.82	4.58	5.14	124683	27557	97126
cluster_2	37	28	32	5.14	5.39	4.81	97126	79566	17560
cluster_2	32	2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758	2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802	4.81	4.43	6.30	17560	10758	6802
cluster_2	28	2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036	24	5.39	5.08	5.52	79566	6036	73530
cluster_2	24	2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048	23	5.52	5.96	5.55	73530	13048	60482
cluster_2	23	2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602	21	5.55	5.76	5.69	60482	11602	48880
cluster_2	21	17	20	5.69	5.40	6.34	48880	21601	27279
cluster_2	20	2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644	2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635	6.34	6.58	6.57	27279	14644	12635
cluster_2	17	2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686	2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915	5.40	5.65	5.57	21601	10686	10915
cluster_2	34	2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226	25	4.58	5.00	4.74	27557	11226	16331
cluster_2	25	2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983	2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348	4.74	4.82	5.27	16331	8983	7348
cluster_2	44	2020-03-04t14-27-25z_m101_kernel_265_number_of_sequence_6248	2020-03-04t14-27-25z_m160_kernel_430_number_of_sequence_9215	4.63	4.59	5.08	15463	6248	9215
cluster_2	45	2020-03-04t14-27-25z_m183_kernel_486_number_of_sequence_11749	2020-03-04t14-27-25z_m316_kernel_854_number_of_sequence_7331	4.29	4.55	4.67	19080	11749	7331
cluster_2	63	2020-03-04t14-27-25z_m115_kernel_303_number_of_sequence_8613	62	6.45	6.51	6.38	126645	8613	118032
cluster_2	62	59	61	6.38	6.85	4.36	118032	97863	20169
cluster_2	59	2020-03-04t14-27-25z_m168_kernel_446_number_of_sequence_7981	58	6.85	6.76	5.96	97863	7981	89882
cluster_2	58	2020-03-04t14-27-25z_m31_kernel_86_number_of_sequence_14821	52	5.96	5.76	5.45	89882	14821	75061
cluster_2	52	2020-03-04t14-27-25z_m252_kernel_680_number_of_sequence_7694	48	5.45	5.23	5.73	75061	7694	67367
cluster_2	48	8	41	5.73	7.09	4.35	67367	27971	39396
cluster_2	41	2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362	38	4.35	5.53	4.34	39396	7362	32034
cluster_2	38	2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632	26	4.34	4.35	4.65	32034	8632	23402
cluster_2	26	2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530	2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872	4.65	4.70	5.03	23402	11530	11872
cluster_2	8	2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159	4	7.09	6.81	7.42	27971	9159	18812
