;level	cluster	node
1	2020-03-04t14-27-25z_m128_kernel_332_number_of_sequence_10621,2020-03-04t14-27-25z_m30_kernel_79_number_of_sequence_7529,2020-03-04t14-27-25z_m257_kernel_696_number_of_sequence_10264,2020-03-04t14-27-25z_m324_kernel_891_number_of_sequence_13811	node_3
2	2020-03-04t14-27-25z_m128_kernel_332_number_of_sequence_10621,2020-03-04t14-27-25z_m30_kernel_79_number_of_sequence_7529	node_1
3	2020-03-04t14-27-25z_m257_kernel_696_number_of_sequence_10264,2020-03-04t14-27-25z_m324_kernel_891_number_of_sequence_13811	node_2
