;level	cluster	node
1	2020-03-04t14-27-25z_m246_kernel_671_number_of_sequence_11218,2020-03-04t14-27-25z_m83_kernel_224_number_of_sequence_4724,2020-03-04t14-27-25z_m77_kernel_207_number_of_sequence_8824,2020-03-04t14-27-25z_m135_kernel_343_number_of_sequence_13197,2020-03-04t14-27-25z_m6_kernel_16_number_of_sequence_7625	node_4
2	2020-03-04t14-27-25z_m246_kernel_671_number_of_sequence_11218,2020-03-04t14-27-25z_m83_kernel_224_number_of_sequence_4724,2020-03-04t14-27-25z_m77_kernel_207_number_of_sequence_8824,2020-03-04t14-27-25z_m135_kernel_343_number_of_sequence_13197	node_3
3	2020-03-04t14-27-25z_m246_kernel_671_number_of_sequence_11218,2020-03-04t14-27-25z_m83_kernel_224_number_of_sequence_4724	node_2
4	2020-03-04t14-27-25z_m77_kernel_207_number_of_sequence_8824,2020-03-04t14-27-25z_m135_kernel_343_number_of_sequence_13197	node_1
