;level	cluster	node
1	2020-03-04t14-27-25z_m259_kernel_701_number_of_sequence_5308,2020-03-04t14-27-25z_m104_kernel_272_number_of_sequence_4521,2020-03-04t14-27-25z_m10_kernel_25_number_of_sequence_5805,2020-03-04t14-27-25z_m16_kernel_52_number_of_sequence_5735,2020-03-04t14-27-25z_m243_kernel_668_number_of_sequence_5552,2020-03-04t14-27-25z_m21_kernel_62_number_of_sequence_5151,2020-03-04t14-27-25z_m106_kernel_276_number_of_sequence_6377,2020-03-04t14-27-25z_m216_kernel_583_number_of_sequence_5430,2020-03-04t14-27-25z_m76_kernel_206_number_of_sequence_1982	node_8
2	2020-03-04t14-27-25z_m259_kernel_701_number_of_sequence_5308,2020-03-04t14-27-25z_m104_kernel_272_number_of_sequence_4521,2020-03-04t14-27-25z_m10_kernel_25_number_of_sequence_5805,2020-03-04t14-27-25z_m16_kernel_52_number_of_sequence_5735,2020-03-04t14-27-25z_m243_kernel_668_number_of_sequence_5552,2020-03-04t14-27-25z_m21_kernel_62_number_of_sequence_5151,2020-03-04t14-27-25z_m106_kernel_276_number_of_sequence_6377,2020-03-04t14-27-25z_m216_kernel_583_number_of_sequence_5430	node_7
3	2020-03-04t14-27-25z_m259_kernel_701_number_of_sequence_5308,2020-03-04t14-27-25z_m104_kernel_272_number_of_sequence_4521,2020-03-04t14-27-25z_m10_kernel_25_number_of_sequence_5805,2020-03-04t14-27-25z_m16_kernel_52_number_of_sequence_5735,2020-03-04t14-27-25z_m243_kernel_668_number_of_sequence_5552,2020-03-04t14-27-25z_m21_kernel_62_number_of_sequence_5151,2020-03-04t14-27-25z_m106_kernel_276_number_of_sequence_6377	node_6
4	2020-03-04t14-27-25z_m259_kernel_701_number_of_sequence_5308,2020-03-04t14-27-25z_m104_kernel_272_number_of_sequence_4521,2020-03-04t14-27-25z_m10_kernel_25_number_of_sequence_5805,2020-03-04t14-27-25z_m16_kernel_52_number_of_sequence_5735,2020-03-04t14-27-25z_m243_kernel_668_number_of_sequence_5552,2020-03-04t14-27-25z_m21_kernel_62_number_of_sequence_5151	node_5
5	2020-03-04t14-27-25z_m259_kernel_701_number_of_sequence_5308,2020-03-04t14-27-25z_m104_kernel_272_number_of_sequence_4521,2020-03-04t14-27-25z_m10_kernel_25_number_of_sequence_5805,2020-03-04t14-27-25z_m16_kernel_52_number_of_sequence_5735,2020-03-04t14-27-25z_m243_kernel_668_number_of_sequence_5552	node_4
6	2020-03-04t14-27-25z_m259_kernel_701_number_of_sequence_5308,2020-03-04t14-27-25z_m104_kernel_272_number_of_sequence_4521,2020-03-04t14-27-25z_m10_kernel_25_number_of_sequence_5805,2020-03-04t14-27-25z_m16_kernel_52_number_of_sequence_5735	node_3
7	2020-03-04t14-27-25z_m259_kernel_701_number_of_sequence_5308,2020-03-04t14-27-25z_m104_kernel_272_number_of_sequence_4521	node_2
8	2020-03-04t14-27-25z_m10_kernel_25_number_of_sequence_5805,2020-03-04t14-27-25z_m16_kernel_52_number_of_sequence_5735	node_1
